FII;Vacancia;Inadimplencia;DataAtualizacao
RBOP11;0.6962;0;22-06-2026 12:47
RBRD11;0.16;0;22-06-2026 12:47
RBRI11;0.0;0;22-06-2026 12:47
RBRK11;0.224;0;22-06-2026 12:47
RBRL11;0.0;0;22-06-2026 12:47
RBRP11;0.238;0;22-06-2026 12:47
RBRR11;0.0;0;22-06-2026 12:47
RBRS11;0.2767;0;22-06-2026 12:47
RBRX11;0.0;0;22-06-2026 12:47
RBRY11;0.0;0;22-06-2026 12:47
RBTS11;0.0;0;22-06-2026 12:47
RBVA11;0.065;0;22-06-2026 12:47
RCFA11;0.0;0;22-06-2026 12:47
RCFF11;0.0;0;22-06-2026 12:47
RCRB11;0.0;0;22-06-2026 12:47
RCRI11;0.0;0;22-06-2026 12:47
RDCI11;0;0;22-06-2026 12:47
RDIV11;0.0;0;22-06-2026 12:47
RDLI11;0.0;0;22-06-2026 12:47
RECD11;0.0;0;22-06-2026 12:47
RECM11;0.0;0;22-06-2026 12:47
RECR11;0.0;0;22-06-2026 12:47
RECT11;0.082;0;22-06-2026 12:47
REIT11;0.0;0;22-06-2026 12:47
RELG11;0.03;0;22-06-2026 12:47
REME11;0.0;0;22-06-2026 12:47
RENV11;0.0;0;22-06-2026 12:47
RFOF11;0.0;0;22-06-2026 12:47
RINV11;0.0;0;22-06-2026 12:47
RJDA11;0;0;22-06-2026 12:47
RMBS11;0.0;0;22-06-2026 12:47
RNGO11;0.1521;0;22-06-2026 12:47
ROOF11;0.0;0;22-06-2026 12:47
RPRI11;0.0;0;22-06-2026 12:47
RSPD11;0.0;0;22-06-2026 12:47
RTEL11;0.0;0;22-06-2026 12:47
RZAK11;0.0;0;22-06-2026 12:47
RZAT11;0.0;0;22-06-2026 12:47
RZLC11;0.0;0;22-06-2026 12:47
RZTR11;0.0;0;22-06-2026 12:47
RZZI11;0.16;0;22-06-2026 12:47
RZZR11;0.0;0;22-06-2026 12:47
RZZV11;0;0;22-06-2026 12:47
SAIC11;0;0;22-06-2026 12:47
SALI11;0.0;0;22-06-2026 12:47
SAPI11;0.0;0;22-06-2026 12:47
SCPF11;0.2475;0;22-06-2026 12:47
SEED11;0.0;0;22-06-2026 12:47
SEQR11;0.067;0;22-06-2026 12:47
SHDP11;0;0;22-06-2026 12:47
SHIP11;0;0;22-06-2026 12:47
SHOP11;0.1869;0.066;22-06-2026 12:47
SHPH11;0.006;0.002;22-06-2026 12:47
SHPP11;0;0;22-06-2026 12:47
SJAU11;0.0;0;22-06-2026 12:47
SLDZ11;0.0;0;22-06-2026 12:47
SMRE11;0.2816;0;22-06-2026 12:47
SNCI11;0.0;0;22-06-2026 12:47
SNEL11;0.0;0;22-06-2026 12:47
SNFF11;0.0;0;22-06-2026 12:47
SNLG11;0.0874;0;22-06-2026 12:47
SNME11;0.0;0;22-06-2026 12:47
SOFF11;0;0;22-06-2026 12:47
SOLR11;0.0;0;22-06-2026 12:47
SPAF11;0.047;0;22-06-2026 12:47
SPDE11;0.0;0;22-06-2026 12:47
SPG211;0.0;0;22-06-2026 12:47
SPGM11;0.0;0;22-06-2026 12:47
SPMO11;0.0;0;22-06-2026 12:47
SPTW11;0.0;0;22-06-2026 12:47
SPVJ11;0.0;0;22-06-2026 12:47
SPXG11;0.0;0;22-06-2026 12:47
SPXL11;0.0;0;22-06-2026 12:47
SPXM11;0;0;22-06-2026 12:47
SPXS11;0.0;0;22-06-2026 12:47
STRX11;0.0;0;22-06-2026 12:47
STYI11;0;0;22-06-2026 12:47
SURE11;0;0;22-06-2026 12:47
TCIN11;0.0;0;22-06-2026 12:47
TCPF11;0.0;0;22-06-2026 12:47
TELD11;0.0;0;22-06-2026 12:47
TELM11;0.0;0;22-06-2026 12:47
TEPP11;0.0569;0;22-06-2026 12:47
TGAR11;0.0;0;22-06-2026 12:47
TIOM11;0;0;22-06-2026 12:47
TJKB11;0.0;0.006;22-06-2026 12:47
TMPS11;0.0;0;22-06-2026 12:47
TOPP11;0.0;0;22-06-2026 12:47
TORD11;0.0;0;22-06-2026 12:47
TRBL11;0.033;0;22-06-2026 12:47
TRCO11;0;0;22-06-2026 12:47
TRNT11;0.178;0;22-06-2026 12:47
TRPL11;0;0;22-06-2026 12:47
TRUE11;1.0;0;22-06-2026 12:47
TRXB11;0.0;0;22-06-2026 12:47
TRXF11;0.0067;0;22-06-2026 12:47
TRXY11;0.0;0;22-06-2026 12:47
TSER11;0.03;0;22-06-2026 12:47
TSNC11;0.105;0;22-06-2026 12:47
TVOI11;0;0;22-06-2026 12:47
TVRI11;0.032;0;22-06-2026 12:47
URHF11;0.0;0.0012;22-06-2026 12:47
URPR11;0.0;0;22-06-2026 12:47
VCJR11;0.0;0;22-06-2026 12:47
VCRI11;0.0;0;22-06-2026 12:47
VCRR11;0.214;0;22-06-2026 12:47
VCTH11;0.0;0;22-06-2026 12:47
VDSV11;0.0;0;22-06-2026 12:47
VERE11;0.0;0;22-06-2026 12:47
VGHF11;0.0;0;22-06-2026 12:47
VGII11;0.0;0;22-06-2026 12:47
VGIP11;0.0;0;22-06-2026 12:47
VGIR11;0.0;0;22-06-2026 12:47
VGRI11;0.0;0;22-06-2026 12:47
VGRM11;0;0;22-06-2026 12:47
VIDS11;0.0;0;22-06-2026 12:47
VILG11;0.005;0;22-06-2026 12:47
VIMO11;0;0;22-06-2026 12:47
VINO11;0.22;0;22-06-2026 12:47
VIOL11;0;0;22-06-2026 12:47
VISC11;0.057;0;22-06-2026 12:47
VIUR11;0.0;0;22-06-2026 12:47
VJFD11;0.0;0;22-06-2026 12:47
VLJS11;0.0;0;22-06-2026 12:47
VNSS11;0;0;22-06-2026 12:47
VOTS11;0.0;0;22-06-2026 12:47
VPPR11;0.154;0;22-06-2026 12:47
VPSI11;0.0;0;22-06-2026 12:47
VRTA11;0.0;0;22-06-2026 12:47
VRTM11;0.0;0;22-06-2026 12:47
VSHO11;0.096;0;22-06-2026 12:47
VSLH11;0.0;0.003;22-06-2026 12:47
VTPA11;0.0;0;22-06-2026 12:47
VTPL11;0.0;0;22-06-2026 12:47
VTVI11;0.0;0;22-06-2026 12:47
